Party;Date;# of Seats;% of Seats;# of Votes;% of Votes
ADP - Arab Democratic Party (Arab Democratic Party, ADP);23. Jun 92;2;01. Jul;40788;01. Jun
ADP - Arab Democratic Party (Arab Democratic Party, ADP);29-May-96;4;03. Mrz;89514;02. Sep
Labour - Labour (Labour, Labour);17-May-99;26;21. Jul;670484;20. Mrz
AE - Am Ehad (Am Ehad, AE);28. Jan 03;3;02. Mai;86808;02. Aug
AS - Whole Nation (Am Shalem, AS);22. Jan 13;0;0;45690;01. Feb
ATP - A. Tìbì's Party (A. Tìbì's Party, ATP);29-May-96;0;0;2087;0.1
AY - Green Leaf (Ale Yarok, AY);28-Mar-06;0;0;40353;01. Mrz
AY - Green Leaf (Ale Yarok, AY);10. Feb 09;0;0;13132;0.4
AY - Green Leaf (Ale Yarok, AY);22. Jan 13;0;0;43734;01. Feb
AY - Green Leaf (Ale Yarok, AY);19-Mar-15;0;0;47156;01. Jan
Likud - Likud (Likud, Likud);17-May-99;19;15. Aug;468103;14. Feb
Balad - Balad (Balad, Balad);28. Jan 03;3;02. Mai;71299;02. Mrz
Balad - Balad (Balad, Balad);28-Mar-06;3;02. Mai;72066;02. Mrz
Balad - Balad (Balad, Balad);10. Feb 09;3;02. Mai;83739;02. Mai
Balad - Balad (Balad, Balad);22. Jan 13;3;02. Mai;97030;02. Jun
Shas - Sephardi Torah Guardians (Shas, Shas);17-May-99;17;14. Feb;430676;13
D - Democratic Union (Ha’Mahneh Ha’Demokrati, D);17. Sep 19;5;04. Feb;192495;04. Mrz
Daam - Da'am (Da'am, Daam);29-May-96;0;0;1351;0
Dan - Dan (Dan, Dan);29-May-96;0;0;5533;0.2
EGP - E. Gur's Party (E. Gur's Party, EGP);29-May-96;0;0;22741;0.7
EH - New Land (Eretz Hadasha, EH);22. Jan 13;0;0;28080;0.7
GIL - Pensioners of Israel to the Knesset (Gimla'ey Yisrael LaKnesset , GIL);29-May-96;0;0;14935;0.5
GIL - Pensioners of Israel to the Knesset (Gimla'ey Yisrael LaKnesset , GIL);28-Mar-06;7;05. Aug;185759;05. Sep
GIL - Pensioners of Israel to the Knesset (Gimla'ey Yisrael LaKnesset , GIL);10. Feb 09;0;0;17571;0.5
GM - Green Movement (HaTnu`a HaYeruqa, GM);10. Feb 09;0;0;27737;0.8
Meretz - Meretz (Meretz, Meretz);17-May-99;10;08. Mrz;253525;07. Jul
Hadash - Hadash (Hadash, Hadash);23. Jun 92;3;02. Mai;62546;02. Apr
Hadash - Hadash (Hadash, Hadash);29-May-96;5;04. Feb;129455;04. Feb
CP - Centre Party (Centre Party, CP);17-May-99;6;5;165622;5
Hadash - Hadash (Hadash, Hadash);28. Jan 03;3;02. Mai;93819;3
Hadash - Hadash (Hadash, Hadash);28-Mar-06;3;02. Mai;86092;02. Jul
Hadash - Hadash (Hadash, Hadash);10. Feb 09;4;03. Mrz;112130;03. Mrz
Hadash - Hadash (Hadash, Hadash);22. Jan 13;4;03. Mrz;113439;3
HaTnua - Movement (HaTnua, HaTnua);22. Jan 13;6;5;189167;5
